,u,v,distance(m),street type,speed(km/h)
29536,6167278769,6167278768,1.0,1,15.0
29537,6167278769,1492145818,5.0,0,10.0
29538,6167278770,1492145802,8.0,1,15.0
29539,6167278770,6167278771,1.0,0,10.0
29540,6167278770,6167278769,3.0,1,15.0
29541,6167278771,1492145802,8.0,0,10.0
29542,6167278771,6167278772,2.0,0,10.0
29543,6167278771,6167278770,1.0,1,15.0
29544,6167278772,1492149402,4.0,2,20.0
29545,6167278772,6167278771,2.0,2,20.0
29546,6167278772,1492145802,8.0,0,10.0
29547,6167278773,2291074004,3.0,2,20.0
29548,6167278773,1492153105,113.0,1,15.0
29549,6167278773,6167278758,100.0,2,20.0
29550,6167278773,163350975,104.0,0,10.0
29551,6167278774,2291073996,3.0,1,15.0
29552,6167278774,103121662,103.0,2,20.0
29553,6167278774,3543024079,133.0,1,15.0
29554,6167278774,6167279389,81.0,0,10.0
29555,6167278775,2181268838,5.0,0,10.0
29556,6167278778,1492145846,20.0,2,20.0
29557,6167278780,6167278783,128.0,2,20.0
29559,6167278783,1492153091,35.0,1,15.0
29560,1953969337,777771693,22.0,1,15.0
29561,1953969337,1725216833,13.0,2,20.0
29562,370750696,370750526,10.0,0,10.0
29563,370750698,547573220,49.0,0,10.0
29564,370750698,370750696,14.0,1,15.0
29565,370750701,5257193653,4.0,0,10.0
29566,370750708,547568822,28.0,1,15.0
29567,370750708,370750701,14.0,1,15.0
29568,781137142,781093347,32.0,0,10.0
29569,781137142,781137162,116.0,0,10.0
29570,370750714,370750991,7.0,0,10.0
29571,247018750,247018765,13.0,1,15.0
29572,247018750,247018762,66.0,2,20.0
29573,781137163,781093481,5.0,2,20.0
29574,781137163,781137142,6.0,1,15.0
29575,247018762,247018750,66.0,2,20.0
29576,781137162,781093374,5.0,1,15.0
29577,781137162,4460254047,10.0,2,20.0
29578,247018765,247018769,28.0,1,15.0
29579,247018765,247012597,9.0,2,20.0
29580,3240572175,3240572176,7.0,0,10.0
29581,3240572175,3240572179,8.0,1,15.0
29582,3240572175,3240572178,111.0,2,20.0
29583,3240572175,579999697,106.0,1,15.0
29584,628176144,628175729,175.0,2,20.0
29585,247018769,247018765,28.0,0,10.0
29586,3240572177,3240572174,7.0,1,15.0
29587,3240572177,3240572178,7.0,1,15.0
29588,3240572177,3240572179,111.0,1,15.0
29589,3240572177,581711528,101.0,1,15.0
29590,3240572179,3240572175,8.0,1,15.0
29591,3240572179,3240572181,7.0,1,15.0
29592,3240572179,3240572177,111.0,2,20.0
29593,3240572179,579999689,79.0,0,10.0
29594,3240572181,3240572179,7.0,0,10.0
29595,3240572181,3240572174,111.0,1,15.0
29597,3240572181,579999689,80.0,1,15.0
29598,2304718102,711772457,19.0,1,15.0
29599,2304718102,1217532938,27.0,2,20.0
29600,2304718102,711766722,187.0,1,15.0
29601,2304718102,247532480,140.0,1,15.0
29602,2304718104,711778936,47.0,0,10.0
29603,2304718104,2304718106,19.0,0,10.0
29605,2304718104,252588993,65.0,1,15.0
29606,2304718106,2304718104,19.0,1,15.0
29608,2304718106,2613024047,13.0,0,10.0
29609,2304718106,91970805,63.0,1,15.0
29610,370750748,2358053032,3.0,2,20.0
29611,370750746,2358053047,3.0,1,15.0
29612,370750747,370750701,112.0,0,10.0
29613,370750747,370750714,15.0,2,20.0
29614,2913940794,2705192019,133.0,1,15.0
29615,2913940794,992496487,11.0,1,15.0
29616,2913940794,2992212845,46.0,1,15.0
29617,2913940794,2992195785,11.0,2,20.0
29618,660026700,2850399840,3.0,2,20.0
29619,660026700,6167417917,106.0,0,10.0
29620,600782156,600744899,13.0,1,15.0
29621,600782156,245531711,42.0,2,20.0
29622,600782156,600782163,9.0,1,15.0
29623,34157905,2766300604,60.0,1,15.0
29624,34157905,30220444,14.0,2,20.0
29625,600782163,600782156,9.0,1,15.0
29626,3121558868,3121558867,11.0,1,15.0
29627,3121558868,3121558871,5.0,1,15.0
29629,3121558868,3121558869,37.0,1,15.0
29630,3121558867,3121558868,11.0,0,10.0
29631,3121558870,3121558869,4.0,0,10.0
29633,3121558870,2481930362,80.0,0,10.0
29634,3121558870,3121558871,38.0,0,10.0
29635,3121558871,3121558868,5.0,1,15.0
29637,3121558871,3121558870,38.0,0,10.0
29638,3121558871,1982297474,84.0,1,15.0
29639,3121558873,332796830,81.0,1,15.0
29640,3121558873,332796790,30.0,1,15.0
29641,3121558873,3121558877,27.0,1,15.0
29642,3121558873,2672373356,33.0,0,10.0
29643,3121558876,3121558877,23.0,2,20.0
29644,3121558877,3121558873,27.0,2,20.0
29645,3121558877,332797060,30.0,0,10.0
29646,3121558877,3121558876,23.0,0,10.0
29647,3121558869,583473685,8.0,1,15.0
29648,3121558869,3121558870,4.0,1,15.0
29650,3121558869,3121558868,37.0,1,15.0
29651,781137275,838386042,5.0,2,20.0
29652,781137278,838386029,7.0,1,15.0
29653,444806533,1833123399,6.0,1,15.0
29654,444806546,611991907,11.0,1,15.0
29655,1985557912,26034673,15.0,2,20.0
29656,1985557912,6167417964,105.0,1,15.0
29657,1985557913,247012075,15.0,1,15.0
29658,1985557913,6167344519,6.0,0,10.0
29659,1985557913,1985557912,71.0,2,20.0
29660,1985557917,6207229685,63.0,1,15.0
29661,1985557917,319157074,15.0,1,15.0
29662,1985557917,6167344500,6.0,1,15.0
29663,1985557921,26051949,17.0,1,15.0
29664,1985557921,6206949955,33.0,1,15.0
29665,1985557923,1985557927,12.0,2,20.0
29666,1985557923,6167344516,6.0,0,10.0
29667,1985557927,595594352,14.0,0,10.0
29668,1985557927,6167236682,8.0,0,10.0
29669,1985557929,6167344534,6.0,0,10.0
29670,1985557929,247024620,16.0,1,15.0
29671,1985557929,1985557921,74.0,2,20.0
29672,1985557931,26051952,16.0,0,10.0
29673,1985557931,6167191155,106.0,1,15.0
29674,1985557933,6167344523,6.0,0,10.0
29675,1985557933,1985557935,44.0,0,10.0
29676,1985557935,247020702,16.0,2,20.0
29677,1985557935,1985557931,27.0,2,20.0
29678,1985557938,6167254955,7.0,1,15.0
29679,1985557938,1985561684,7.0,1,15.0
29680,1985557960,1985549822,11.0,0,10.0
29681,1985557960,6167344507,7.0,1,15.0
29682,1985557963,6207070036,72.0,2,20.0
29683,1985557963,26034662,14.0,0,10.0
29684,1985557963,6167344514,6.0,2,20.0
29685,1833121231,282825801,44.0,1,15.0
29686,1833121231,282825804,1.0,0,10.0
29687,1833121231,34909156,55.0,1,15.0
29688,1833121231,35285670,66.0,2,20.0
29689,2936354302,1404219801,8.0,0,10.0
29690,2936354302,248969215,119.0,1,15.0
29691,2936354302,1521014625,38.0,1,15.0
29692,370750977,370751503,109.0,1,15.0
29693,370750977,370751597,14.0,1,15.0
29694,317535746,317535751,85.0,2,20.0
29695,317535746,33675682,87.0,1,15.0
29696,317535749,317535751,25.0,2,20.0
29697,317535751,317535749,25.0,1,15.0
29698,317535751,317535746,85.0,1,15.0
29699,317535751,1492410223,33.0,2,20.0
29700,317535752,2384091370,11.0,0,10.0
29701,317535752,137181160,39.0,1,15.0
29702,317535753,317535755,9.0,1,15.0
29703,317535755,317535753,9.0,1,15.0
29704,317535755,2384091370,47.0,1,15.0
29705,317535755,3208518287,47.0,0,10.0
29706,317535757,3208518303,9.0,1,15.0
29707,317535757,291210708,49.0,1,15.0
29708,317535757,317535760,55.0,2,20.0
29709,317535760,291210708,26.0,2,20.0
29710,317535760,1725216810,32.0,1,15.0
29711,317535760,317535757,55.0,1,15.0
29712,370750991,3146808080,34.0,1,15.0
29713,370750991,370750748,14.0,1,15.0
29714,781137430,2207974398,4.0,1,15.0
29715,781137430,781093248,4.0,2,20.0
29716,781137430,4460254046,109.0,1,15.0
29717,370751058,417270193,17.0,2,20.0
29718,370751058,4287120807,131.0,1,15.0
29719,781137525,2207974398,4.0,2,20.0
29720,781137525,3218293524,46.0,1,15.0
29721,5827671676,6167266606,5.0,2,20.0
29722,5827671676,3924931355,21.0,1,15.0
29723,3419354750,26034668,10.0,1,15.0
29724,3419354750,6167357854,13.0,0,10.0
29725,3419354750,6167357853,6.0,1,15.0
29726,3419354751,6167359505,7.0,1,15.0
29727,3419354751,6167359499,15.0,1,15.0
29728,3419354751,589472358,8.0,0,10.0
29729,3419354758,317537930,8.0,1,15.0
29730,3419354758,6167357855,9.0,1,15.0
29731,3419354758,589449823,6.0,0,10.0
29732,3419354761,277089929,7.0,1,15.0
29733,3419354761,6167236671,10.0,1,15.0
29734,3419354761,6167357850,8.0,1,15.0
29735,3419354762,1713460710,9.0,0,10.0
29736,3419354762,6167357852,9.0,2,20.0
29737,3419354762,6167357851,13.0,1,15.0
29738,5422003858,5422003859,5.0,1,15.0
29739,5422003858,5422257281,12.0,1,15.0
29740,5422003858,6257008941,7.0,1,15.0
29741,5422003859,1998397487,4.0,0,10.0
29742,5422003859,5422003858,5.0,1,15.0
29743,5422003859,1998397489,31.0,1,15.0
29744,786642596,531390695,109.0,1,15.0
29745,786642596,452381260,47.0,2,20.0
29746,2296723115,3268156342,78.0,0,10.0
29747,2296723119,2710645521,77.0,2,20.0
29749,2296723119,2296723120,50.0,1,15.0
29751,2296723119,3268160207,132.0,2,20.0
29752,2296723120,2296723119,50.0,1,15.0
29754,2296723120,5109337887,144.0,2,20.0
29756,4769265353,4769265355,28.0,1,15.0
29757,4769265353,55846402,90.0,0,10.0
29758,4769265353,4769265354,25.0,1,15.0
29759,4769265354,4769265355,9.0,1,15.0
29760,4769265354,4769265353,25.0,1,15.0
29761,4769265354,1546958636,114.0,1,15.0
29762,4769265355,4769265353,28.0,2,20.0
29763,4769265355,4769265354,9.0,0,10.0
29764,4769265355,277363204,357.0,0,10.0
29765,581777149,581776548,13.0,2,20.0
29766,581777149,581774610,150.0,1,15.0
29767,581777149,581772978,184.0,2,20.0
29768,581777149,581776547,19.0,1,15.0
29769,137180950,1725216525,21.0,0,10.0
29770,582563607,6202471403,91.0,0,10.0
29771,582563607,6202471406,85.0,2,20.0
29772,582563607,6215568586,21.0,1,15.0
29773,582563607,5424203774,58.0,1,15.0
29774,6167279385,1492153103,5.0,1,15.0
29775,6167279385,1492152182,8.0,1,15.0
29776,6167279387,6167279388,9.0,2,20.0
29777,6167279387,1492152182,5.0,2,20.0
29778,6167279387,2266559610,200.0,1,15.0
29779,6167279388,6167279389,9.0,2,20.0
29780,6167279388,6167279387,9.0,0,10.0
29781,6167279388,1492153100,7.0,0,10.0
29782,6167279389,6167278774,81.0,1,15.0
29783,6167279389,1492153094,8.0,1,15.0
29784,6167279389,6167279388,9.0,2,20.0
29785,6167279392,2181275327,15.0,1,15.0
29786,6167279392,2291073990,15.0,1,15.0
29787,6167279393,3306881184,37.0,2,20.0
29788,387266338,4952477290,145.0,1,15.0
29789,387266338,387266370,117.0,0,10.0
29790,387266338,259616751,19.0,0,10.0
29791,387266338,387266341,87.0,1,15.0
29792,387266341,2185303492,61.0,0,10.0
29793,387266341,387266338,87.0,2,20.0
29794,387266341,387266428,56.0,1,15.0
29795,6167279397,6167489424,39.0,2,20.0
29796,6167279396,2181275332,45.0,1,15.0
29797,6167279396,2291073983,45.0,1,15.0
29798,6167279402,3394697031,24.0,1,15.0
29799,6167279401,6167279404,58.0,2,20.0
29801,6167279406,2181268846,79.0,2,20.0
29802,6167279409,6167279410,8.0,2,20.0
29803,6167279410,6167279411,13.0,1,15.0
29804,6167279410,6167441039,57.0,2,20.0
29805,6167279408,2291073981,20.0,1,15.0
29806,6167279408,2181268837,19.0,1,15.0
29807,387266357,1835199890,32.0,1,15.0
29808,387266357,2384097341,6.0,1,15.0
29809,387266357,387266371,158.0,1,15.0
29810,387266357,2185303494,54.0,0,10.0
29811,6167279414,6167279417,110.0,1,15.0
29813,6167279418,2181268828,48.0,1,15.0
29814,6167279418,2291073995,49.0,2,20.0
29815,6167279417,4520380514,60.0,1,15.0
29816,301545277,1560149567,2.0,2,20.0
29817,301545277,1560149439,10.0,1,15.0
29818,301545277,1560149516,8.0,2,20.0
29819,301545277,6024429121,38.0,2,20.0
29820,301545273,634777975,8.0,2,20.0
29821,301545273,634777969,12.0,0,10.0
29822,301545273,710034740,5.0,1,15.0
29823,387266370,387266338,117.0,2,20.0
29824,387266370,387266446,128.0,1,15.0
29825,387266370,387266447,9.0,2,20.0
29826,387266370,2185303492,60.0,1,15.0
29827,387266371,1833115017,164.0,0,10.0
29828,387266371,6167285761,2.0,0,10.0
29829,387266371,387266357,158.0,2,20.0
29830,387266371,387266443,118.0,2,20.0
29831,301545285,709974145,154.0,2,20.0
29833,301545285,709963112,11.0,1,15.0
29835,301545280,301545281,115.0,0,10.0
29839,301545280,1224869661,211.0,2,20.0
29840,301545280,710004546,1.0,2,20.0
29841,301545281,709965773,124.0,1,15.0
29843,301545281,301545280,115.0,2,20.0
29847,301545281,506049292,25.0,2,20.0
29849,702363471,702363472,26.0,1,15.0
29851,702363471,702372648,3.0,2,20.0
29852,702363471,702363476,3.0,0,10.0
29854,702363471,702363474,14.0,2,20.0
29855,702363472,702363473,14.0,0,10.0
29857,702363472,702363471,26.0,2,20.0
29859,702363473,702363474,26.0,1,15.0
29860,702363473,702363472,14.0,1,15.0
29862,702363473,702365695,8.0,1,15.0
29863,702363474,702372648,12.0,1,15.0
29864,702363474,702363473,26.0,0,10.0
29865,702363474,702363471,14.0,1,15.0
29866,702363474,702363477,19.0,0,10.0
29867,702363476,702363477,11.0,2,20.0
29869,702363476,702365654,9.0,2,20.0
29871,702363476,702363471,3.0,1,15.0
29873,702363477,702363476,11.0,1,15.0
29875,702363477,702365654,14.0,1,15.0
29876,702363477,702363474,19.0,0,10.0
29877,387266384,488879346,36.0,0,10.0
29878,387266384,387266443,56.0,1,15.0
29879,387266384,2185303492,126.0,1,15.0
29880,387266384,387266446,38.0,0,10.0
29881,387266384,4952478803,99.0,1,15.0
29882,136525654,136525667,66.0,1,15.0
29883,136525654,2189158015,44.0,0,10.0
29884,136525654,2189156621,37.0,0,10.0
29885,137181013,312718913,48.0,2,20.0
29886,137181013,1725216340,7.0,1,15.0
29887,3268160207,2296723119,132.0,2,20.0
29888,3268160207,3268160222,17.0,0,10.0
29889,136525667,136525654,66.0,1,15.0
29890,136525667,6167247301,32.0,0,10.0
29892,4957761327,4957761333,56.0,1,15.0
29893,702363497,306382946,9.0,0,10.0
29894,702363497,702354815,21.0,2,20.0
29895,387266410,387266443,91.0,1,15.0
29896,387266410,2185303494,25.0,0,10.0
29897,387266410,488879346,76.0,0,10.0
29898,702363502,702363497,13.0,0,10.0
29899,702363502,387153022,28.0,1,15.0
29900,4957761329,4957761345,59.0,1,15.0
29901,387266428,2185303494,102.0,0,10.0
29902,387266428,387266341,56.0,2,20.0
29903,387266428,4952477297,54.0,2,20.0
29904,387266428,2185303492,56.0,1,15.0
29905,628176771,628176794,150.0,1,15.0
29906,4957761333,4957761344,69.0,1,15.0
29907,4957761333,4957761327,56.0,1,15.0
29908,4957761333,4957761345,35.0,2,20.0
29909,387266443,488879346,48.0,0,10.0
29910,387266443,387266384,56.0,1,15.0
29911,387266443,387266410,91.0,0,10.0
29912,387266443,387266371,118.0,2,20.0
29913,387266443,4952478803,95.0,0,10.0
29914,387266445,4996764095,4.0,1,15.0
29915,387266445,387266446,9.0,2,20.0
29916,387266446,387266370,128.0,2,20.0
29917,387266446,1833115017,111.0,0,10.0
29918,387266446,387266445,9.0,0,10.0
29919,387266446,387266384,38.0,1,15.0
29920,387266447,289597255,13.0,1,15.0
29921,387266447,4996764096,122.0,2,20.0
29922,387266447,387266370,9.0,1,15.0
29923,628176794,628175729,25.0,0,10.0
29924,628176794,628176771,150.0,0,10.0
29925,628176794,628177784,33.0,2,20.0
29926,137181091,367849048,14.0,2,20.0
29927,137181091,4419701256,113.0,1,15.0
29928,4957761344,4957761347,28.0,2,20.0
29929,4957761344,4957761333,69.0,1,15.0
29930,4957761344,4957761322,94.0,2,20.0
29931,4957761345,4957761346,14.0,1,15.0
29932,4957761345,4957761329,59.0,2,20.0
29933,4957761345,4957761333,35.0,0,10.0
29934,781006787,838386039,4.0,2,20.0
29935,137181126,367849057,109.0,2,20.0
29936,137181126,1725216373,12.0,2,20.0
29937,709965773,301545281,124.0,0,10.0
29939,709965773,448103554,196.0,0,10.0
29940,709965773,506049291,72.0,2,20.0
29941,364328927,871096404,37.0,1,15.0
29942,364328927,2972446168,7.0,1,15.0
29943,364328927,245507258,51.0,2,20.0
29944,137181160,356215139,29.0,2,20.0
29945,137181160,1725216746,11.0,1,15.0
29946,301545449,130040038,91.0,2,20.0
29947,579418098,577516869,200.0,1,15.0
29948,579418098,577517978,30.0,1,15.0
29949,579418098,577523836,139.0,0,10.0
29950,2189506548,589443480,5.0,0,10.0
29953,2189506551,589443497,7.0,0,10.0
29956,956512263,956512267,18.0,2,20.0
29959,956512263,733342432,24.0,0,10.0
29960,370751497,3144992720,75.0,1,15.0
29961,370751497,241807393,11.0,2,20.0
29962,956512267,956512263,18.0,1,15.0
29965,956512267,4245791607,11.0,2,20.0
29966,370751499,370752605,41.0,1,15.0
29967,370751499,370749847,10.0,2,20.0
29968,137181198,1283643431,35.0,0,10.0
29969,137181198,367849063,62.0,1,15.0
29970,137181198,1725216267,12.0,2,20.0
29971,370751503,370751499,9.0,0,10.0
29972,1224804750,1224832128,6.0,1,15.0
29974,1224804750,1224804771,16.0,1,15.0
29975,1224804750,1224821965,66.0,1,15.0
29976,591308541,591317281,8.0,1,15.0
29977,591308541,591317279,4.0,2,20.0
29978,591308541,2268846476,1141.0,2,20.0
29979,2633185322,107156453,42.0,1,15.0
29981,2633185322,107156422,8.0,2,20.0
29983,573782060,6231506310,7.0,1,15.0
29984,573782060,768257081,40.0,1,15.0
29985,573782060,6231506306,48.0,2,20.0
29986,1224804757,1224804770,11.0,0,10.0
29988,1224804757,1224821946,26.0,2,20.0
29989,1224804757,1224804771,100.0,1,15.0
29990,1224804759,1224804788,5.0,0,10.0
29992,1224804759,1224804770,25.0,1,15.0
29994,257505348,257505387,14.0,0,10.0
29997,257505348,4350551011,3.0,1,15.0
30000,257505349,257505386,8.0,1,15.0
30002,257505349,2975214867,38.0,1,15.0
30003,257505349,257505377,39.0,1,15.0
30004,331167815,30946383,47.0,1,15.0
30005,331167815,30946385,48.0,0,10.0
30006,331167815,30946384,47.0,2,20.0
30007,331167815,30946386,49.0,0,10.0
30008,257505351,5646660249,17.0,1,15.0
30010,257505351,5406376908,6.0,1,15.0
30012,1224804761,1224804764,4.0,0,10.0
30014,1224804761,1224804763,4.0,1,15.0
30016,1224804764,1224821938,61.0,0,10.0
30018,1224804764,1224804761,4.0,2,20.0
30020,257505376,257505377,28.0,1,15.0
30022,257505376,257505385,8.0,2,20.0
30024,257505377,257505376,28.0,2,20.0
30026,257505377,5406376885,29.0,1,15.0
30027,257505377,257505349,39.0,2,20.0
30028,257505381,257505382,17.0,1,15.0
30030,257505381,5406376885,4.0,2,20.0
30031,257505381,5646660250,92.0,1,15.0
30032,257505382,4350551010,6.0,0,10.0
30033,257505382,257505381,17.0,1,15.0
30035,257505382,257505383,28.0,2,20.0
30036,257505383,257505384,14.0,1,15.0
30039,257505383,4350551010,23.0,1,15.0
30041,257505383,257505382,28.0,1,15.0
30042,257505384,257505385,26.0,2,20.0
30044,257505384,257505383,14.0,0,10.0
30047,257505384,257505387,12.0,1,15.0
30050,257505385,257505376,8.0,2,20.0
30052,257505385,257505384,26.0,1,15.0
30054,257505385,257505386,12.0,1,15.0
30056,257505386,257505349,8.0,0,10.0
30058,257505386,257505387,26.0,1,15.0
30060,257505386,257505385,12.0,2,20.0
30062,257505387,257505386,26.0,0,10.0
30064,257505387,257505348,14.0,0,10.0
30067,257505387,257505384,12.0,1,15.0
30070,370751597,370751686,7.0,1,15.0
30071,370751614,370749848,6.0,1,15.0
30072,1224804777,1224804763,5.0,2,20.0
30074,1224804777,1224832128,84.0,1,15.0
30076,370751648,241807394,9.0,2,20.0
30077,370751653,241807179,14.0,1,15.0
30078,370751656,370749268,117.0,1,15.0
30079,370751656,370751653,14.0,1,15.0
30080,641022145,581778425,194.0,0,10.0
30081,370751686,547586431,43.0,0,10.0
30082,370751686,370751648,14.0,1,15.0
30083,370751687,370750977,4.0,1,15.0
30084,364329179,871096413,53.0,1,15.0
30085,364329179,871096410,141.0,2,20.0
30086,317536476,3208518285,113.0,2,20.0
30087,317536476,2023894041,48.0,2,20.0
30088,317536476,3208518299,11.0,1,15.0
30089,1889089757,2384091382,17.0,1,15.0
30090,1889089757,2384091380,14.0,2,20.0
30091,1889089757,2797986650,289.0,0,10.0
30092,364329206,364329268,65.0,1,15.0
30093,364329206,245493797,65.0,1,15.0
30094,364329206,1877472366,65.0,1,15.0
30095,364329206,871096400,63.0,0,10.0
30096,364329206,1879206776,53.0,0,10.0
30097,364329206,2383218753,115.0,1,15.0
30098,2191735053,591306178,21.0,0,10.0
30099,2191735053,2191735054,4.0,0,10.0
30100,2191735053,2191735059,8.0,1,15.0
30101,2191735054,2191735060,8.0,0,10.0
30102,2191735054,2191735053,4.0,2,20.0
30103,2191735054,2191735055,125.0,1,15.0
30104,2191735055,2191735056,4.0,0,10.0
30105,2191735055,2191735057,8.0,0,10.0
30106,2191735055,591203865,66.0,1,15.0
30107,2191735056,2191735058,8.0,1,15.0
30108,2191735056,2191735055,4.0,1,15.0
30109,2191735056,2191735053,125.0,1,15.0
30110,2191735057,2191735055,8.0,1,15.0
30111,2191735057,2191736650,5.0,2,20.0
30112,2191735057,579391882,76.0,0,10.0
30113,2191735058,2191735059,125.0,2,20.0
30115,2191735058,2191735056,8.0,0,10.0
30116,2191735059,267317732,19.0,0,10.0
30117,2191735059,2191735053,8.0,0,10.0
30118,2191735059,2191735058,125.0,0,10.0
30119,2191735060,2191735057,125.0,1,15.0
30120,2191735060,2191736653,5.0,1,15.0
30121,2191735060,2191735054,8.0,2,20.0
30122,370751778,3144992696,27.0,1,15.0
30123,370751778,370751780,15.0,1,15.0
30124,370751779,547588442,28.0,1,15.0
30125,370751779,370751793,12.0,2,20.0
30126,370751780,370751788,4.0,1,15.0
30127,370751788,547568872,149.0,1,15.0
30128,370751788,370751779,7.0,0,10.0
30129,370751789,3144850934,65.0,2,20.0
30130,370751789,370751778,10.0,1,15.0
30131,370751793,370751789,12.0,2,20.0
30132,364329268,245493800,27.0,1,15.0
30134,364329268,1877472366,106.0,1,15.0
30136,364329268,364329206,65.0,1,15.0
30137,364329268,1725216333,7.0,1,15.0
30138,373635381,373635383,33.0,1,15.0
30140,373635381,92149924,15.0,1,15.0
30141,373635381,305876854,147.0,2,20.0
30142,641022263,641022264,117.0,0,10.0
30143,641022264,641022265,36.0,1,15.0
30144,641022264,641022263,117.0,1,15.0
30145,641022264,641022429,110.0,0,10.0
30146,641022265,581778425,35.0,1,15.0
30147,641022265,641022264,36.0,2,20.0
30148,641022265,581778436,148.0,2,20.0
30149,373635383,373635381,33.0,1,15.0
30151,373635383,2781290201,14.0,1,15.0
30152,373635383,301538021,9.0,1,15.0
30153,702363967,702363973,8.0,1,15.0
30155,702363967,4633714544,10.0,2,20.0
30156,702363967,2385153634,490.0,0,10.0
30157,702363973,702363967,8.0,2,20.0
30159,702363973,702363974,8.0,2,20.0
30161,702363974,702363984,14.0,0,10.0
30163,702363974,702363973,8.0,1,15.0
30165,702363984,702363985,13.0,1,15.0
30167,702363984,702363974,14.0,1,15.0
30169,702363985,125386169,23.0,0,10.0
30171,702363985,702363984,13.0,2,20.0
30173,628177290,628177517,79.0,1,15.0
30174,702364052,702352297,36.0,1,15.0
30175,702364052,702352304,14.0,0,10.0
30176,702364052,702376247,54.0,2,20.0
30177,702364052,702376274,32.0,1,15.0
30178,702364058,702376281,9.0,1,15.0
30179,702364058,702352297,40.0,0,10.0
30180,702364058,702364060,16.0,1,15.0
30181,702364060,3790949315,392.0,1,15.0
30182,702364060,702364058,16.0,1,15.0
30183,702364060,702352316,27.0,1,15.0
30184,702364060,305106977,25.0,1,15.0
30185,740374932,2332601815,25.0,2,20.0
30186,740374932,214131808,25.0,2,20.0
30187,740374932,740374973,101.0,0,10.0
30188,364329376,137181013,6.0,0,10.0
30189,588200381,588197212,2.0,1,15.0
30190,588200381,588198721,2.0,2,20.0
30192,588200381,588197122,3.0,2,20.0
30193,740374973,114268737,32.0,1,15.0
30194,740374973,31477183,294.0,2,20.0
30195,740374973,740374932,101.0,2,20.0
30196,641022429,641022264,110.0,1,15.0
30197,257505804,257505805,7.0,0,10.0
30199,257505804,257505812,42.0,0,10.0
30200,257505804,4350551010,36.0,2,20.0
30201,257505805,257506017,5.0,2,20.0
30203,257505805,257505804,7.0,0,10.0
30205,257505806,257506015,4.0,1,15.0
30207,257505806,257506017,5.0,1,15.0
30209,257505807,257506016,4.0,1,15.0
30211,257505807,257506015,5.0,2,20.0
30213,257505808,257505809,19.0,1,15.0
30215,257505808,257506016,5.0,2,20.0
30217,257505809,257505810,5.0,0,10.0
30219,257505809,257505808,19.0,1,15.0
30221,257505810,4350551012,4.0,1,15.0
30223,257505810,257505809,5.0,1,15.0
30225,257505811,257505812,26.0,0,10.0
30228,257505811,4350551012,20.0,2,20.0
30229,257505811,5406376908,5.0,1,15.0
30231,257505812,257505811,26.0,1,15.0
30234,257505812,5544289003,4.0,2,20.0
30236,257505812,257505804,42.0,1,15.0
30237,628177510,628177517,79.0,0,10.0
30238,628177517,628177290,79.0,1,15.0
30239,628177517,628177784,41.0,1,15.0
30240,628177517,628177510,79.0,1,15.0
30241,3967629954,3967630059,24.0,0,10.0
30242,3967629954,579497457,282.0,2,20.0
30243,3967629954,3967630063,40.0,1,15.0
30244,2885237377,2885237376,6.0,2,20.0
30246,2885237377,767723857,6.0,2,20.0
30248,2885237376,2885237375,21.0,2,20.0
30251,2885237376,2885237377,6.0,1,15.0
30253,2885237376,2885198474,66.0,2,20.0
30254,2885237375,2885237378,4.0,0,10.0
30256,2885237375,2885237376,21.0,1,15.0
30259,2885237375,2885198475,66.0,2,20.0
30260,2885237378,767723734,6.0,0,10.0
30262,2885237378,2885237375,4.0,1,15.0
30264,588200619,588197075,2.0,1,15.0
30265,588200619,588197122,4.0,1,15.0
30267,588200619,588200625,4.0,2,20.0
30268,370752171,370750312,49.0,2,20.0
30269,370752171,3146808063,16.0,1,15.0
30270,251083435,251083429,130.0,0,10.0
30271,588200625,588198717,1.0,2,20.0
30273,588200625,588198716,7.0,2,20.0
30275,588200625,588200619,4.0,1,15.0
30276,356088983,356088461,21.0,1,15.0
30277,356088983,356089033,30.0,1,15.0
30278,356088983,30385485,59.0,1,15.0
30279,257506015,257505807,5.0,1,15.0
30281,257506015,257505806,4.0,2,20.0
30283,257506016,257505808,5.0,1,15.0
30285,257506016,257505807,4.0,1,15.0
30287,257506017,257505806,5.0,1,15.0
30289,257506017,257505805,5.0,0,10.0
30291,3967630059,3967629954,24.0,1,15.0
30292,3967630059,579490936,277.0,2,20.0
30293,3967630059,3967630089,113.0,1,15.0
30294,3967630060,579490624,27.0,0,10.0
30295,3967630060,3967630066,33.0,2,20.0
30296,3967630060,3967630090,112.0,2,20.0
30297,3967630060,579487458,118.0,0,10.0
30298,3967630063,3967630079,68.0,1,15.0
30299,3967630063,3967630067,33.0,0,10.0
30300,3967630063,3967629954,40.0,2,20.0
30301,3967630066,3967630060,33.0,0,10.0
30302,3967630066,579486335,170.0,1,15.0
30303,3967630066,3967630093,105.0,0,10.0
30304,3967630067,3967630078,36.0,0,10.0
30305,3967630067,3967630063,33.0,1,15.0
30306,3967630067,579498335,105.0,1,15.0
30307,3967630071,3967630077,23.0,2,20.0
30308,3967630071,579482160,116.0,2,20.0
30309,3967630071,4264281406,284.0,1,15.0
30310,3967630073,1457641773,23.0,2,20.0
30311,3967630073,3967630083,23.0,0,10.0
30312,3967630073,2949357170,455.0,1,15.0
